Date,Close
11/23/2015,92.2
11/24/2015,91.8
11/25/2015,92.86
11/26/2015,92.49
11/27/2015,92.59
11/28/2015,92.45
11/29/2015,92.83
11/30/2015,92.49
12/1/2015,92.49
12/2/2015,91.86
12/3/2015,91.41
12/4/2015,91.12
12/5/2015,91.3
12/6/2015,90.83
12/7/2015,91.17
12/8/2015,91.93
12/9/2015,92.03
12/10/2015,93.03
12/11/2015,93.37
12/12/2015,92.75
12/13/2015,93.49
12/14/2015,94.02
12/15/2015,93.85
12/16/2015,92.69
12/17/2015,92.39
12/18/2015,91.91
12/19/2015,93.37
12/20/2015,92.45
12/21/2015,94.43
12/22/2015,94.38
12/23/2015,94.64
12/24/2015,94.96
12/25/2015,97.68
12/26/2015,97.92
12/27/2015,97.7
12/28/2015,99.12
12/29/2015,99.37
12/30/2015,98.24
12/31/2015,97.63
1/1/2016,97.71
1/2/2016,98.26
1/3/2016,98.82
1/4/2016,98.97
1/5/2016,99.67
1/6/2016,99.12
1/7/2016,98.94
1/8/2016,98.5
1/9/2016,99.96
1/10/2016,100.66
1/11/2016,101.99
1/12/2016,103.38
1/13/2016,104.86
1/14/2016,104.06
1/15/2016,103.85
1/16/2016,104.05
1/17/2016,104.39
1/18/2016,103.91
1/19/2016,105.3
1/20/2016,105.46
1/21/2016,105.56
1/22/2016,105.42
1/23/2016,105.15
1/24/2016,105.17
1/25/2016,104.3
1/26/2016,104.56
1/27/2016,104.22
1/28/2016,106.08
1/29/2016,107.44
1/30/2016,107.38
1/31/2016,108.98
2/1/2016,108.36
2/2/2016,108.38
2/3/2016,109.44
2/4/2016,107.53
2/5/2016,108.06
2/6/2016,107.97
2/7/2016,108.16
2/8/2016,107.28
2/9/2016,107.66
2/10/2016,107.12
2/11/2016,107.9
2/12/2016,108.04
2/13/2016,108.06
2/14/2016,109.3
2/15/2016,110.94
2/16/2016,110.65
2/17/2016,111.3
2/18/2016,110.61
2/19/2016,110.3
2/20/2016,109.57
2/21/2016,109
2/22/2016,109
2/23/2016,109.49
2/24/2016,109.26
2/25/2016,109.65
2/26/2016,110.33
2/27/2016,110.18
2/28/2016,110.71
2/29/2016,110.06
3/1/2016,110.01
3/2/2016,110.12
3/3/2016,109.73
3/4/2016,110.32
3/5/2016,110.23
3/6/2016,110.09
3/7/2016,111.04
3/8/2016,110.59
3/9/2016,111.24
3/10/2016,110.67
3/11/2016,110.86
3/12/2016,110.84
3/13/2016,111.03
3/14/2016,110.92
3/15/2016,111.52
3/16/2016,112.31
3/17/2016,111.87
3/18/2016,111.71
3/19/2016,111.76
3/20/2016,112.71
3/21/2016,111.75
3/22/2016,112.08
3/23/2016,112.24
3/24/2016,112.14
3/25/2016,112.38
3/26/2016,113.05
3/27/2016,112.53
3/28/2016,113.18
3/29/2016,113.39
3/30/2016,113.2
3/31/2016,113.04
4/1/2016,113
4/2/2016,113.05
4/3/2016,112.58
4/4/2016,112.43
4/5/2016,113.07
4/6/2016,113.04
4/7/2016,113.2
4/8/2016,113.78
4/9/2016,114.19
4/10/2016,113.73
4/11/2016,114.79
4/12/2016,114.44
4/13/2016,113.7
4/14/2016,115.18
4/15/2016,115.58
4/16/2016,115.84
4/17/2016,115.6
4/18/2016,114.73
4/19/2016,114.37
4/20/2016,111.62
4/21/2016,111.17
4/22/2016,111.99
4/23/2016,111.42
4/24/2016,112.07
4/25/2016,109.66
